Device,Model,Total Parameters,Total Trainable Parameters,Memory Usage (GiB,batch size,tokens_per_second,run_time_seconds,Avg Prefill Time (s),Max Prefill Time (s),Min Prefill Time (s),Avg Single Deocde Time (s),Min Single Deocde Time (s),Max Single Deocde Time (s),Avg Deocde Time For 31 Tokens (s),Max Deocde Time For 31 Tokens (s),Min Deocde Time For 31 Tokens (s)
NVIDIA A40,Scaled Up Bitnet,"100,370,587,776","100,370,587,776",26.01621103286743,256,129.1341018745672,63.438340250651045,17.798531786600748,18.093446969985962,17.67689085006714,1.4435506036204677,1.4265778064727783,1.4595534801483154,44.750068712234494,44.763399600982666,44.734018325805664
NVIDIA A40,Scaled Up Bitnet,"100,370,587,776","100,370,587,776",26.01621103286743,128,86.92680891344027,47.120101881027225,9.076045640309651,9.120776414871216,9.055094242095947,1.2200564220387449,1.2103538513183594,1.2291665077209473,37.82174908320109,37.85484576225281,37.79519605636597
NVIDIA A40,Scaled Up Bitnet,"100,370,587,776","100,370,587,776",26.01621103286743,64,49.852713832294704,41.081015570958456,4.9650824228922525,4.972440242767334,4.951746702194214,1.1606325036735945,1.1557338237762451,1.1653742790222168,35.97960761388143,35.98969483375549,35.96984624862671
NVIDIA A40,Scaled Up Bitnet,"100,370,587,776","100,370,587,776",26.01621103286743,32,26.774894517739433,38.24478640556335,2.897419325510661,2.899623155593872,2.8864080905914307,1.1374286374738138,1.1340653896331787,1.1406993865966797,35.26028776168823,35.27478742599487,35.25078892707825
NVIDIA A40,Scaled Up Bitnet,"100,370,587,776","100,370,587,776",26.01621103286743,16,14.186089002949736,36.0917018254598,1.845484701792399,1.8468835353851318,1.835519790649414,1.102983400385867,1.0997920036315918,1.1058268547058105,34.192485411961876,34.202139139175415,34.161383628845215
NVIDIA A40,Scaled Up Bitnet,"100,370,587,776","100,370,587,776",26.01621103286743,8,7.235603433800928,35.3806037902832,1.3920759677886962,1.394103765487671,1.384291172027588,1.0960271230307959,1.0927999019622803,1.101762294769287,33.976840813954674,33.99909591674805,33.93988752365112
NVIDIA A40,Scaled Up Bitnet,"100,370,587,776","100,370,587,776",26.01621103286743,4,3.648141796319828,35.08635792732239,1.1946059226989747,1.196303367614746,1.1885387897491455,1.0926291650341402,1.0896461009979248,1.0973711013793945,33.87150411605835,33.882588386535645,33.83519172668457
NVIDIA A40,Scaled Up Bitnet,"100,370,587,776","100,370,587,776",26.01621103286743,2,1.8442194477598794,34.703030252456664,1.1470146656036377,1.1483259201049805,1.142272710800171,1.0809756540483044,1.078784465789795,1.0825130939483643,33.51024527549744,33.51796054840088,33.497602462768555
NVIDIA A40,Scaled Up Bitnet,"100,370,587,776","100,370,587,776",26.01621103286743,1,0.9084780920351817,35.22375124295552,1.1317176500956216,1.1332039833068848,1.1288464069366455,1.0990975738853537,1.0974392890930176,1.1017694473266602,34.072024790445965,34.090848207473755,34.04483389854431

